COMP_ID,CPNAME,CPADDRESS1,CPADDRESS2,CPCITY,CPSTATE,CPZIP,CPPHONE,CPFAX,CPNOTES,TRACK_NO,IBM_NO,TAX_ID_TYP,TAX_ID,CPGROUP,SOB,DISABILITY,GLIABILITY,WORKCOMP,HIC,CONTRACTOR,CTL_NO,DM,CN,CC,FH,SR,SPECINSP,SI_NO,MOD_BY,MOD_WHEN
1741,DYNAMIC ELEVATOR CORP,137 EAST 25TH STREET,,NEW YORK,NY,10010,2124819333,,,,,C,,01,,,,,,,,,,,,,,,0,
1742,LEARDON BOILER,,,,,,7185855314,,,,,C,,01,,,,,,,,,,,,,,,0,
1743,TM & M MECHANICAL CORP,"255 WEST 36TH STREET, ROOM 1005",,NEW YORK,NY,10018,2125633321,,,,,C,133905645,01,,,,,,True,,,,,,,,,31,2013-02-05 16:16:04.999000
1744,GOLDEN VALE CONSTRUCTION,58-67 56TH STREET,,MASPETH,NY,11378,7183666110,,,04558,,C,112845046,01,,,,,,True,,,,,,,,,0,
1745,FOURTH AVENUE OWNERS CORPORATION,111 FOURTH AVENUE,,NEW YORK,NY,10003,9174168855,,,,,C,,01,,,,,,,,,,,,,,,0,
1746,A & T INTERNATIONAL GROUP INC.,136-39 41ST AVENUE #1K,,FLUSHING,NY,11355,7183217818,,,32186,,C,200286931,01,,,,,,True,,,,,,,,,0,
1747,MIKE MASCARO,12 ROUNDHILL ROAD,,ARMONK,NY,10504,,,,,,C,,01,,,,,,,,,,,,,,,0,
1748,RICHARD SIMON,1549 LINCOLN AVENUE,,HOLBROOK,NY,11741,6314678688,9718425980,,,,C,,01,,,,,,,,,,,,,,,0,
1749,"FORDHAM EMERALD ASSOCIATES, LLC",1000 PENNSYLVANIA AVENUE,,BROOKLYN,NY,11207,7184853682,,,,,C,,01,,,,,,,,,,,,,,,0,
1750,"ROCCO VERDEROSA, RA",60 CENTRAL AVENUE,,EAST BRUNSWICK,NJ,08816,7322570885,7322577445,,,,C,,01,,,,,,,,,,,,,,,0,
1751,TISHMAN CONSTRUCTION CORP.,233 BROADWAY,,NEW YORK,NY,10279,2122275855,2122276196,,,,C,,01,,,,,,,,,,,,,,,0,
1752,"SAMUEL TUROVSKY, PE",27 THOMAS ROAD,,EAST BRUNSWICK,NJ,08816,7326139135,7326517177,,,,C,,01,,,,,,,,,,,,,,,0,
1753,"ROBERT D. REDLIEN, PE",177 ROXBURY ROAD,,GARDEN CITY,NY,11530,5168779017,5167423976,,,,C,,01,,,,,,,,,,,,,,,0,
1754,VLAD RESTORATION LTD,84-45 103RD AVENUE,,OZONE PARK,NY,11417,7183224812,7183224874,,5997,17550,C,113148584,01,,,,2007-10-25,,True,,,,,,,,,0,
1755,DASH HOMES,2990 AVENUE U,,BROOKLYN,NY,11229,3472195813,7183684216,,,,C,,01,,,,,,,,,,,,,,,0,
1756,HOLY TRINITY CHURCH,316 EAST 88TH STREET,,NEW YORK,NY,10028,2122894100,,,,,C,,01,,,,,,,,,,,,,,,0,
1757,JOE LOVETT,48-25 207TH STREET,,QUEENS,NY,11364,7183521597,,,,,C,,01,,,,,,,,,,,,,,,0,
1758,SPAR KNITWEAR CORP.,21-21 41ST AVENUE,,LONG ISLAND CITY,NY,,7187866877,,,,,C,,01,,,,,,,,,,,,,,,0,
1759,A&M WARSHAW HEATING AND PLUMBING,"521 BROADWAY, SUITE 2",,NEW YORK,NY,10012,2123430101,,,,,C,,01,,,,,,,,,,,,,,,0,
1760,SOHOTEL,341 BROOME STREET,,NEW YORK,NY,10013,2122261482,2122263525,,,,C,,01,,,,,,,,,,,,,,,0,
1761,ATLANTIC REALTY APTS. LLC,155 RIVERSIDE DRIVE,,NEW YORK,NY,10024,2128734919,,,,,C,,01,,,,,,,,,,,,,,,56,2014-09-16 14:16:35
1762,NINE ELEVEN PARK INC.,675 3 AVENUE,,NEW YORK,NY,10017,2123502667,,,,,C,,01,,,,,,,,,,,,,,,0,
1763,"19 FLATBUSH ASSOCIATES, LLC",388 BERRY STREET,,BROOKLYN,NY,11211,7187823000,7187821446,,,,C,,01,,,,,,,,,,,,,,,0,
1764,CLINTON TOWERS CORP,C/O BPC MANAGEMENT CORP.,80 LIVINGSTON STREET,BROOKLYN,NY,11201,7188521616,,,,,C,,01,,,,,,,,,,,,,,,0,
1765,C/O HALSTEAD MANAGEMENT COMPANY,770 LEXINGTON AVENUE,,NEW YORK,NY,10021,2123968267,2124901818,,,,C,,01,,,,,,,,,,,,,,,120,2017-03-01 10:35:23
1766,GERDES HOME IMPROVEMENT INC,1501 WOODSIDE AVENUE,,BALDWIN,NY,11510,5163512021,,,16587,,C,056562305,01,,,,,,True,,,,,,,,,0,
1767,SUPREME WINDOW,362 WEST 53RD STREET,,NEW YORK,NY,10019,2122473967,,,,,C,,01,,,,,,,,,,,,,,,0,
1768,425 WEST END AVE CORP C/O GERARD J. PICA,1133 BROADWAY,,NEW YORK,NY,10010,,,,,,C,,01,,,,,,,,,,,,,,,0,
1769,KENNETH R. KAPLAN,425 WEST END AVENUE APT 3D,,NEW YORK,NY,10024,2127692881,,,,,C,,01,,,,,,,,,,,,,,,0,
1770,"METROPOLITAN  58TH STREET ASSOCIATES, LL","220 W GERMANTOWN PIKE, SUITE 250",,PLYMOUTH MEETING,PA,19462,,,,,,C,,01,,,,,,,,,,,,,,,0,
1771,"717 GFC, LLC","52 VANDERBILT AVENUE, SUITE 1600",,NEW YORK,NY,10017,2125576700,,,,,C,,01,,,,,,,,,,,,,,,0,
1772,"FREDERICK A. PORCELLO, PE",PO BOX 728,,PINE BROOK,NJ,07058,9738828377,9738828478,,,,C,,01,,,,,,,,,,,,,,,0,
1773,"VACHRIS ENGINEERING, P.C.",370 OLD COUNTRY ROAD,SUITE 180,GARDEN CITY,NY,11530,5167475096,5167471933,,,,C,,01,,,,,,,,,,,,,True,002975,19,2018-04-16 16:04:51
1774,AKRF,,,,,,6467344028,9149497559,,,,C,,01,,,,,,,,,,,,,,,0,
1775,VER TECH ELEVATOR,100-01 91ST STREET,,RICHMOND HILL,NY,11418,7188509111,7188509533,,,,C,,01,,,,,,,,,,,,,,,0,
1776,CB RICHARD ELLIS,120 NORTH VILLAGE AVENUE,,ROCKVILLE CENTRE,NY,11570,,,,,,C,,01,,,,,,,,,,,,,,,0,
1777,CODE EXPEDITORS,40 WORTH STREET,,NEW YORK,NY,,,,,,,C,,01,,,,,,,,,,,,,,,0,
1778,ELLIVKROY REALTY C/O MIDBORO MGMT,148 WEST 37TH STREET,,NEW YORK,NY,10018,2128778500,,,,,C,,01,,,,,,,,,,,,,,,0,
1779,EXCELLENT LAND HOLDINGS,10019 NORTH 107TH STREET,,SCOTTSDALE,AZ,85258,6025713077,,,,,C,,01,,,,,,,,,,,,,,,0,
1780,"LEONARD J. STRANDBERG AND ASSOCIATES, PC","ONE EDGEWATER PLAZA, SUITE 205",,STATEN ISLAND,NY,10305,7184209693,,,,,C,,01,,,,,,,,,,,,,,,0,
1781,NEW YORKER STORAGE CO. INC.,5 CANAL PLACE,,BRONX,NY,10451,7182923099,,,,,C,,01,,,,,,,,,,,,,,,0,
1782,1602 MML REALTY LLC C/O LEMAC REALTY,21 EAST 21ST STREET,APT. BB,NEW YORK,NY,10010,2124964002,9175462983,,,,C,,01,,,,,,,,,,,,,,,0,
1783,SYNOPTIC MANAGEMENT,136 WEST 92ND 1A,,NEW YORK,NY,10025,2123625679,,,,,C,,01,,,,,,,,,,,,,,,0,
1784,TELETEMP COOLING,1309 JERICHO TURNPIKE,,NEW HYDE PARK,NY,11040,5163521900,5163524547,,012553,,C,112803207,01,,,,,,True,,,,,,,,,0,
1785,JONES LANG LASALLE,"HAHN KOOK CENTER (U.S.A.), INC.",460 PARK AVENUE,NEW YORK,NY,10022,2128383624,2127556414,,,,C,,01,,,,,,,,,,,,,,,56,2012-11-09 09:21:23.999000
1786,"TANA TEMPERTURE CONTROL & PLUMBING CO.,",285 EAST 165TH STREET,,BRONX,NY,10456,9142371700,9142373972,,,,C,,01,,,,,,,,,,,,,,,0,
1787,FRANJO RESTORATION,69 15TH STREET,,BROOKLYN,NY,11215,7184993176,,,13582,,C,113259829,01,,,,,,True,,,,,,,,,0,
1788,CITY SIGN INC.,1940 MCDONALD AVENUE,,BROOKLYN,NY,11223,7183755933,7183820876,,,,C,112960545,01,,,,,,True,,,,,,,,,0,
1789,"NUANCE COMMUNICATIONS, INC.","55 BROAD STREET, 7TH FLOOR",,NEW YORK,NY,10004,6468258015,6464258845,,,,C,,01,,,,,,,,,,,,,,,0,
1790,"WACHTEL & MASYR, LLP",110 EAST 59TH STREET,,NEW YORK,NY,10022,2129099546,2129099481,,,,C,,01,,,,,,,,,,,,,,,0,
1791,NUCOR CONSTRUCTION CORP.,"117 WEST 28TH STREET, 3RD FLOOR",,NEW YORK,NY,10001,2127364442,2127364519,,1722,,C,133341436,01,,,,,,True,,,,,,,,,0,
1792,METROPOLIS GROUP INC.*,"299 BROADWAY, SUITE 600",,NEW YORK,NY,10007,2127101217,,(212) 233-6344,,,C,,01,,,,,,,,,,,,,,,0,
1793,TRITELL CONSTRUCTION,29 EAST 31ST STREET,,NEW YORK,NY,10016,2125948833,,,,,C,,01,,,,,,,,,,,,,,,0,
1794,RDESIGN,"275 CANAL STREET, 5TH FLOOR",,NEW YORK,NY,10013,6462340876,2122140333,,,,C,,01,,,,,,,,,,,,,,,0,
1795,SPRING SCAFFOLDING,28-20 BORDEN AVENUE,,LONG ISLAND CITY,NY,11101,7183924921,,,,,C,,01,,,,,,,,,,,,,,,0,
1796,NW GETZ & ASSOCIATES,810 YONKERS AVENUE,,YONKERS,NY,10704,9144572460,9144572529,,,,C,,01,,,,,,,,,,,,,,,0,
1797,"STELLAR PRODUCTIONS INTERNATIONAL, INC.",200 WEST 57TH STREET,,NEW YORK,NY,10019,2123150402,,,,,C,,01,,,,,,,,,,,,,,,0,
1798,CANNON DESIGN,"360 MADISON AVENUE, 11TH FLOOR",,NEW YORK,NY,10017,2129729800,,,,,C,,01,,,,,,,,,,,,,,,0,
1799,AEC REPROGRAPHICS,345 WEST 37TH STREET,,NEW YORK,NY,10018,2126249474,,,,,C,,01,,,,,,,,,,,,,,,0,
1800,"SUPREME GLASS AND WINDOWS CO.,",31-17 38TH AVENUE,,LONG ISLAND CITY,NY,11101,7187291520,,,,,C,,01,,,,,,,,,,,,,,,0,
1801,A-1 WATERMAIN & SEWER,1428 EAST 92ND STREET,,BROOKLYN,NY,11236,7182724784,,,164,,C,112951300,01,,,,,,True,,,,,,,,,0,
1802,NYC DEPARTMENT OF TRANSPORTATION,"30-30 THOMSON AVENUE, 5TH FLOOR",,LONG ISLAND CITY,NY,11101,,,,,,C,,01,,,,,,,,,,,,,,,0,
1803,GAD ASHOORI PE,47 APPLETREE LANE,,ROSLYN HGTS,NY,11577,5166218502,5166217529,,,,C,,01,,,,,,,,,,,,,,,64,2019-04-02 15:33:28
1804,"MATTHEW ADAM PROPERTIES, INC",127 EAST 59TH STREET 3RD FLOOR,,NEW YORK,NY,10022,2126998922,,,,,C,,01,,,,,,,,,,,,,,,0,
1805,DEBORAH BRADLEY CONSTRUCTION,481 MANHATTAN AVENUE,,NEW YORK,NY,10025,2122222494,2122225887,,024864,,C,133757202,01,,2010-07-01,2010-12-19,2011-01-01,,True,,,,,,,,,0,
1806,SEARS,4 SMITHAVEN SMALL,JOB SITE,LAKE GROVE,NY,11755,,,,,,C,,01,,,,,,,,,,,,,,,0,
1807,MCMAHON DEVELOPMENT GROUP,12651 HIGH BLUFF DRIVE,SUITE 250,SAN DIEGO,CA,92130,8583500200,8583500220,,,,C,,01,,,,,,,,,,,,,,,0,
1808,TOWER CONTRACTING CORP.,61-02 MAURICE AVENUE,,MASPETH,NY,11378,7188031650,7188031655,,5619,,C,112838768,01,,,,,,True,,,,,,,,,0,
1809,KRISHAN SINGH,85-11 252ND STREET,,BELLEROSE,NY,11426,9173537919,,,,,C,,01,,,,,,,,,,,,,,,0,
1810,TWO-TONE CONTRACTING CORP,76-02 21ST AVENUE,,EAST ELMHURST,NY,11370,,,DOB NOW email address JILLANNE@TWOTONECONTRACTING.COM,24191,,C,113631224,01,,,,,,True,,,,,,,,,187,2022-07-05 10:23:11
1811,"LANGAN ENG,ENV,SUR,L.A.GEO,DPC",360 WEST 31ST STREET,8TH FLOOR,NEW YORK,NY,10001,2124795400,2124795444,,,,C,,01,,,,,,,,,,,,,True,001265,120,2020-03-25 14:39:07.999000
1812,INARCH,"27 WEST 20TH STREET, 8TH FLOOR",,NEW YORK,NY,10011,2123525160,2123525179,,,,C,,01,,,,,,,,,,,,,,,0,
1813,TAGGART ASSOCIATES,5-33 50TH AVENUE,,LIC,NY,11101,7187867570,,,5595,,C,111980376,01,,,,,,True,,,,,,,,,0,
1814,"JIM WEBBER & ASSOCIATES, INC.",9 WEST 29TH STREET,,NEW YORK,NY,10001,2126834044,2126834144,,,,C,113513224,01,,,,,,True,,,,,,,,,0,
1815,"SANFORD LENT, PE",48 ORIOLE STREET,,PEARL RIVER,NY,10965,8453000707,,,,,C,,01,,,,,,,,,,,,,,,0,
1816,MAGNUSSON ARCHITECTURE AND PLANNING,853 BROADWAY SUITE 800,,NEW YORK,NY,10013,2122537820,,,,,C,,01,,,,,,,,,,,,,,,0,
1817,"PAPADATOS PARTNERSHIP, LLP",27 WEST 24TH STREET,,NEW YORK,NY,10010,2126049444,2126040890,,,,C,,01,,,,,,,,,,,,,,,0,
1818,GEOFFREY FREEMAN ARCHITECTS,"561 BROADWAY, SIXTH FLOOR",,NEW YORK,NY,10012,2122199044,2122199790,,,,C,,01,,,,,,,,,,,,,,,0,
1819,WARREN & PANZER ENGINEERS,"228 EAST 45TH STREET, 10TH FLOOR",,NEW YORK,NY,10017,2129220077,2129220630,,,,C,,01,,,,,,,,,,,,,,,0,
1820,"BRANCH SERVICES, INC.","261 WEST 35TH STREET, SUITE 403",,NEW YORK,NY,10001,2122448441,2122443131,,,,C,,01,,,,,,,,,,,,,,,0,
1821,SILK BUILDING CONDO C/O COOP SQ REAL,6 EAST 43RD STREET,,NEW YORK,NY,10017,2126348942,,,,,C,,01,,,,,,,,,,,,,,,31,2015-01-07 10:18:16.999000
1822,KIBEL CO. LLC,300 EAST 34TH STREET-36TH FLOOR,,NEW YORK,NY,10016,2124815700,,,,,C,,01,,,,,,,,,,,,,,,0,
1823,URBAHN ASSOCIATES,49 WEST 37TH STREET,,NEW YORK,NY,,2128579023,,,,,C,,01,,,,,,,,,,,,,,,0,
1824,COMMODARI DEVELOPMENT CONSULTANTS & ASSO,3410 WOODSTOCK AVENUE,,BALTIMORE,MD,21213,4102626812,4104679928,,,,C,,01,,,,,,,,,,,,,,,0,
1825,JONATHAN A. PODELL,"165 EAST 66TH STREET, 2C",,NEW YORK,NY,10021,2124311455,2125358476,,,,C,,01,,,,,,,,,,,,,,,0,
1826,8312 5TH AVENUE PARTNERSHIP,155 BRIATON ROAD,,GARDEN CITY,NY,11530,5166033366,,,,,C,,01,,,,,,,,,,,,,,,0,
1827,"STRICK DEVELOPMENT GROUP, LLC",108 EAST CENTER STREET,,CANASTOTA,NY,13032,3156976025,8004321325,,,,C,,01,,,,,,True,,,,,,,,,0,
1828,EARTH TECH,"ONE WORLD FINANCIAL CENTER, 25TH FLOOR",,NEW YORK,NY,10281,2127988500,2127988501,,,,C,,01,,,,,,,,,,,,,,,0,
1829,NYCON CONSTRUCTION CORP.,"4 ROSELL DRIVE, SUITE 101",,BALLSTON LAKE,NY,12019,5188774001,5188774002,,036762,,C,141835201,01,,2009-11-19,2009-12-27,2009-12-21,,True,,,,,,,,,0,
1830,NYC DEPARTMENT OF BUILDINGS,"280 BROADWAY, 7TH FLOOR",,NEW YORK,NY,10007,2125663540,2125663865,,,,C,,01,,,,,,,,,,,,,,,0,
1831,NYS OFFICE OF GENERAL SERVICES,"DESIGN & CONST. GROUP,32ND FL,CORNING TO","THE GOV. NELSON A. ROCKEFELLA, EMPIRE ST",ALBANY,NY,12242,,,,,,C,,01,,,,,,,,,,,,,,,0,
1832,AIRVEL AIRCONDITIONING CORPORATION,246 BROADWAY,,GARDEN CITY PARK,NY,11040,2128890660,2128890465,,4665,,C,,01,,,,,,True,,,,,,,,,0,
1833,TRIARCH,42 NORTH MOORE STREET,,NEW YORK,NY,10013,2124311455,2124311753,,,,C,,01,,,,,,,,,,,,,,,0,
1834,FERRCO ENGINEERING*,896 MANHATTAN AVENUE,,BROOKLYN,NY,11222,7183490821,,,,,C,,01,,,,,,,,,,,,,,,0,
1835,"MCSAM HOTEL, LLC", 13 MAYFLOWER PLACE,,FLORAL PARK,NY,11001,5167752766,,,,,C,,01,,,,,,,,,,,,,,,0,
1836,NEW YORK CRAFTSMEN,80 EAST 2ND STREET,,NEW YORK,NY,10003,2124774477,,,,,C,,01,,,,,,True,,,,,,,,,0,
1837,MILESTONE CONSTRUCTION CORP.,92-29 QUEENS BLVD. SUITE C2,,REGO PARK,NY,11374,7184598500,7184596566,,,,C,,01,,,,,,True,,,,,,,,,0,
1838,NF LIMITED PARTNERSHIP/ FIEBER GROUP,27 MAIN STREET,,NEW CANAAN,CT,06840,2039724975,,,,,C,,01,,,,,,,,,,,,,,,0,
1839,80 EAST END OWNER CORP,80 EAST END AVENUE,,NEW YORK,NY,10017,2126928356,,,,,C,,01,,,,,,,,,,,,,,,0,
1840,3S ASSOCIATES,35-20 LEVERICH STREET APT. C747,,JACKSON HEIGHTS,NY,11372,7186722697,,,,,C,,01,,,,,,,,,,,,,,,0,
1841,"MARTIN SAFREN, AIA",811 ELMONT ROAD,,ELMONT,NY,11003,7189492244,,,,,C,,01,,,,,,,,,,,,,,,0,
1842,GEORGE KAJDACSI,466 WASHINGTON STREET,,NEW YORK,NY,10013,,,,,,C,,01,,,,,,,,,,,,,,,0,
1843,PRESANT FAMILY PARTNERSHIP LP,C/O DAVIDOFF MALITO & HUTCHER LLP,605 3RD AVENUE,NEW YORK,NY,10158,2125577200,,,,,C,,01,,,,,,,,,,,,,,,0,
1844,GOSHOW ARCHITECTS,36 WEST 25TH STREET,,NEW YORK,NY,10010,2122423735,,,,,C,,01,,,,,,,,,,,,,,,0,
1845,"COLLADO ENGINEERING, PC",116 SOUTH BROADWAY,,TARRYTOWN,NY,10591,9143327658,,,,,C,,01,,,,,,,,,,,,,,,0,
1846,WARDS CONSTRUCTION,351 EAST 83RD STREET,,NEW YORK,NY,10028,2126280560,2125357341,,35905,,C,132736819,01,,,,,,True,,,,,,,,,0,
1847,TURNER CONSTRUCTION PEIR 92  NY CRUISE*,711 12TH AVENUE,JOB SITE,NEW YORK,NY,10019,2123152853,2123155973,,2305,,C,114733690,01,,,,,,True,,,,,,,,,0,
1848,JJ CANES & CO.,39 EAST FORDHAM ROAD,,BRONX,NY,10468,7183643884,,,,,C,,01,,,,,,,,,,,,,,,0,
1849,LOUIS,A & T CONSTRUCTION COMPANY,,,,,7183613177,,,,,C,,01,,,,,,True,,,,,,,,,0,
1850,CARLSON ARCHITECTURAL & ENGINEERING,"220 EAST 42ND STREET, 28TH FLOOR",,NEW YORK,NY,10017,2129861600,2129835140,,,,C,,01,,,,,,,,,,,,,,,0,
1851,JIMMY JAZZ,"21 HALL STREET, 7TH FLOOR",,BROOKLYN,NY,11205,7185961414,7185967288,,,,C,,01,,,,,,,,,,,,,,,0,
1852,125 TENANTS CORP.,675 THIRD AVENUE,,NEW YORK,NY,10021,2123502810,,,,,C,,01,,,,,,,,,,,,,,,0,
1853,HELLENIC REFRIGERATION & MECHANICAL INC.,251 52ND STREET,,BROOKLYN,NY,11220,7184929280,,,8042,,C,141890892,01,,,,,,True,,,,,,,,,0,
1854,ADAM MATTY,1229 59TH STREET,,BROOKLYN,NY,11219,,,,,,C,,01,,,,,,,,,,,,,,,0,
1855,CENTRAL PARK CONDOMINIUM,352 PARK AVENUE SOUTH,,,,,2122521900,,,,,C,,01,,,,,,,,,,,,,,,0,
1856,599 10TH CORP,599 TENTH AVENUE,,NEW YORK,NY,10036,2122459126,,,,,C,,01,,,,,,,,,,,,,,,0,
1857,LAURA JACOB,75-19 192ND STREET,,FRESH MEADOWS,NY,11366,,,,,,C,,01,,,,,,,,,,,,,,,0,
1858,MARK S. ADVOCAT AIA,7101 16TH AVENUE,,BROOKLYN,NY,11204,7186443855,,,,,C,,01,,,,,,,,,,,,,,,0,
1859,"GOTHAM PEDIATRICS, PC",59 WEST 12TH STREET,,NEW YORK,NY,10011,2122557733,2122557855,,,,C,,01,,,,,,,,,,,,,,,0,
1860,CHRIS KRAIG,,,,,,9178340086,7188557672,,,,C,,01,,,,,,,,,,,,,,,0,
1861,STAMFORD HEALTH DEPARTMENT,888 WASHINGTON BLVD.,,STAMFORD,CT,06904,2039774381,2039775882,,,,C,,01,,,,,,,,,,,,,,,0,
1862,TURN OF RIVER FIRE DEPT,268 TURN OF RIVER,,STAMFORD,CT,06905,2033222555,2034618799,,,,C,,01,,,,,,,,,,,,,,,0,
1863,LAND USE INSPECTOR,888 WASHINGTON BLVD,,STAMFORD,CT,06904,2039774381,2039775882,,,,C,,01,,,,,,,,,,,,,,,0,
1864,AMERICAN FINANCIAL REALTY TRUST,680 OLD YORK ROAD,,JENKINTOWN,PA,09046,2159853500,2158879856,,,,C,,01,,,,,,,,,,,,,,,0,
1865,GEE 2000 ARCHITECT P.C,707 5TH AVENUE,,BROOKLYN,NY,11215,7187882875,7185043638,,,,C,,01,,,,,,,,,,,,,,,0,
1866,"RIVER WALK LANDING, LLC",155 THIRD STREET,,BROOKLYN,NY,11231,7188758500,,,,,C,,01,,,,,,,,,,,,,,,0,
1867,"JOSEPH NICOLETTI ASSOCIATES, PC*",499 JERICHO TURNPIKE,SUITE 201,MINEOLA,NY,11501,5168737278,,,,,C,,01,,,,,,,,,,,,,,,0,
1868,"VISTA REALTY PARTNERS, LLC",21 EAST 40TH STREET 12TH FLOOR,,NEW YORK,NY,10016,2126865651,,,,,C,,01,,,,,,,,,,,,,,,0,
1869,"SUMMIT CONSTRUCTION SERVICES GROUP, INC.",230 FERRIS AVENUE,,WHITE PLAINS,NY,10603,9143909200,9143909201,,,,C,,01,,,,,,,,,,,,,,,0,
1870,"TRI STATE COMMERCIAL BUILDERS, INC.","4155 VETERANS MEMORIAL HIGHWAY, SUITE 1",,RONKONKOMA,NY,11779,6314673013,6314673791,,9738,21126,C,113393114,01,,,,,,True,,,,,,,,,0,
1871,"530 PARK AVENUE CORP.,",530 PARK AVENUE,,NEW YORK,NY,10017,2123712525,,,,,C,,01,,,,,,,,,,,,,,,0,
1872,STANDARD WATERPROOFING CORP.,701  EAST 134TH STREET,,BRONX,NY,10454,7182922800,7182926288,,4052,11266,C,112804082,01,,,2005-03-30,2008-04-01,,True,,,,,,,,,0,
1873,CALVIN KLIFFNER ARCHITECTS,158 WEST 27TH STREET,11TH FLOOR,NEW YORK,NY,10001,2126451047,,,,,C,,01,,,,,,,,,,,,,,,0,
1874,JOHN GALLIN & SON. INC.,102 MADISON AVENUE,,NEW YORK,NY,10016,2122528900,2122528910,,005763,,C,135094650,01,,,,,,True,,,,,,,,,98,2018-02-23 09:34:26
1875,ROBERT SWARTHE,600 WEST 111 STREET,APT. 6B,NEW YORK,NY,10025,2122228603,,,,,C,,01,,,,,,,,,,,,,,,0,
1876,JOSE ALVARADO,59-27 163RD STREET,,FRESH MEADOWS,NY,11365,3476724407,,,,,C,,01,,,,,,,,,,,,,,,0,
1877,MANOPOLE CONSTRUCTION CORP.,147-04 20TH AVENUE,,WHITESTONE,NY,11357,7187065330,7187065354,,,21337,C,112986373,01,,,,,,True,,,,,,,,,0,
1878,"TOTAL QUALITY FIRE & SECURITY, INC.","135 WEST 29TH STREET, SUITE 601",,NEW YORK,NY,10001,2127308915,2127300321,,,,C,113135204,01,,,,,,,,,,,,,,,120,2018-12-18 14:49:29
1879,MANSOUR ENGINEERING,421 7TH AVENUE,SUITE 1100,NEW YORK,NY,10118,2126439044,,,,,C,,01,,,,,,,,,,,,,,,0,
1880,LOUISE MEROLA DESIGN,2 TYLER PLACE,,WEST NYACK,NY,10994,8456272318,,,,,C,,01,,,,,,,,,,,,,,,0,
1881,"YARROW, LLC",800 SOUTH STREET,,NEW YORK,NY,10003,2122322200,,,,,C,,01,,,,,,,,,,,,,,,0,
1882,GRUEN INC.,1225 LEXINGTON AVENUE,,NEW YORK,NY,10028,2123172979,2126282794,,,,C,,01,,,,,,,,,,,,,,,0,
1883,"JOHN ILARDO ARCHITECT, PC",22 HILLTOP ROAD,,PORT WASHINGTON,NY,11050,5169449768,5169443093,,,,C,,01,,,,,,,,,,,,,,,0,
1884,"KSB BROADWAY ASSOCIATES, LLC",417 FIFTH AVENUE,,NEW YORK,NY,10016,2126244335,,,,,C,,01,,,,,,,,,,,,,,,0,
1885,KATZ 737 PARK AVENUE CORP.,737 PARK AVENUE,,NEW YORK,NY,10022,2124212150,,,,,C,,01,,,,,,,,,,,,,,,0,
1886,"GFP REAL ESTATE, LLC",125 PARK AVENUE,14TH FLOOR,NEW YORK,NY,10017,,,,,,C,,01,,,,,,,,,,,,,,,56,2020-01-14 14:19:12
1887,347 WEST 16TH LLC,"150 GREAT NECK RD, # 402",,GREAT NECK,NY,11201,5164989100,,,,,C,,01,,,,,,,,,,,,,,,0,
1888,115 WILLOW ST CORP.,C/O SYNOPTIC MANAGEMENT,136 WEST 92ND STREET,NEW YORK,NY,10025,2123625679,,,,,C,,01,,,,,,,,,,,,,,,0,
1889,ABESHOUSE PARTNERS,"100 PAINTERS MILL ROAD, SUITE 100",,OWINGS MILLS,MD,21117,4105812437,,,,,C,,01,,,,,,,,,,,,,,,0,
1890,INTEGRATED DESIGN GROUP,345 SEVENTH AVENUE,17TH FLOOR,NEW YORK,NY,10001,2128693540,2128693656,"6 East 39th Street, #801, 10016 Prior address

520 5TH AVENUE  10036-older address",,,C,,01,,,,,,,,,,,,,,,41,2015-08-17 15:23:37.999000
1891,"INTERSERV, LP",,"120 RIVERSIDE BOULEVARD, SUITE 6N",NEW YORK,NY,10069,2127870018,2127870008,,,,C,,01,,,,,,True,,,,,,,,,0,
1892,1170 OCEAN PARKWAY OWNERS CORP.,3646 NOSTRAND AVENUE,,BROOKLYN,NY,11230,7183320777,,,,,C,,01,,,,,,,,,,,,,,,0,
1893,CLOVERLEAF PROPERTIES,234 E 58 STR UNIT #1,,NEW YORK,NY,10022,2126889349,2128323676,,,,C,,01,,,,,,,,,,,,,,,0,
1894,CARMINE DELPLATO,21-55 43 STREET,,ASTORIA,NY,11105,7184706669,,,,,C,,01,,,,,,,,,,,,,,,0,
1895,FRANK WILLIAMS & ASSOCIATES,3 WEST 57TH STREET,,NEW YORK,NY,10019,2127529250,,,,,C,,01,,,,,,,,,,,,,,,0,
1896,DARREN,,,,,,9175363622,,,,,C,,01,,,,,,,,,,,,,,,0,
1897,EBH TECHNOLOGIES INC.,"78 SOUTH WASHINGTON AVENUE, SUITE 200",,HARTSDALE,NY,10530,2128122155,6462908039,,,,C,,01,,,,,,,,,,,,,,,0,
1898,JERRICK ASSOCIATES,88 HAUSMAN STREET,,BROOKLYN,NY,11222,7187823600,7189630329,,031021,,C,134233925,01,,,,,,True,,,,,,,,,0,
1899,BEDFORD APARTMENTS CO,168 WEST 86 STREET,,NEW YORK,NY,10024,2128734919,,,,,C,,01,,,,,,,,,,,,,,,0,
1900,MG ENGINEERING D.P.C,116 WEST 32ND STREET,12TH FLOOR,NEW YORK,NY,10001,2126439055,2126430503,,,,C,,01,,,,,,,,,,,,,,,89,2013-08-13 11:39:52.999000
1901,ELECTRIC LADY STUDIOS,52 WEST 8TH STREET,,NEW YORK,NY,1--11,2126774700,2122288054,,,,C,,01,,,,,,,,,,,,,,,0,
